"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","167","test_inventory_page","tests","Sun Dec 28 12:45:05 UTC 2025","passed","Sun Dec 28 12:45:05 UTC 2025","","test_cart","",""
"","511","test_login_page","tests","Sun Dec 28 12:45:05 UTC 2025","passed","Sun Dec 28 12:45:06 UTC 2025","","test_login","",""
